id,metric,value,status,error
Q220,faithfulness,0.5,ok,
Q220,answer_relevancy,0.8132357402551919,ok,
Q220,context_precision,0.9999999999833333,ok,
Q220,context_recall,1.0,ok,
Q220,answer_correctness,0.986635816689472,ok,
Q220,answer_similarity,0.946543266757888,ok,
Q1016,faithfulness,1.0,ok,
Q1016,answer_relevancy,0.9999999999999997,ok,
Q1016,context_precision,0.99999999998,ok,
Q1016,context_recall,1.0,ok,
Q1016,answer_correctness,0.9642464798083871,ok,
Q1016,answer_similarity,0.8569859192335482,ok,
Q1226,faithfulness,1.0,ok,
Q1226,answer_relevancy,0.7861448814940827,ok,
Q1226,context_precision,0.9999999999833333,ok,
Q1226,context_recall,1.0,ok,
Q1226,answer_correctness,0.893299952101599,ok,
Q1226,answer_similarity,0.823199808406396,ok,
Q1008,faithfulness,0.25,ok,
Q1008,answer_relevancy,0.9999999999999996,ok,
